,link_id,name,geometry,Transit_score
0,cluster2_secondary_15_6,Central Avenue Southwest,"LINESTRING (-84.3923411685972 33.747520653246546, -84.39198635833588 33.74797225691444)",7.829
1,cluster2_secondary_31_17,Joseph E. Lowery Boulevard,"LINESTRING (-84.41748900872608 33.761601199417015, -84.41749497768149 33.7610608004209)",7.229
2,cluster2_secondary_40_3,Monroe Drive Northeast,"LINESTRING (-84.37062799947648 33.77585326837052, -84.37045860319128 33.77637453226922)",3.205
3,cluster2_secondary_57_3,Ralph McGill Boulevard,"LINESTRING (-84.38033372117333 33.76416691647081, -84.37968675720366 33.76414993606845)",2.435
4,cluster2_tertiary_27_7,Flat Shoals Avenue Southeast,"LINESTRING (-84.34317606134837 33.73842142654808, -84.3435975 33.7387508, -84.34364819339514 33.738790415905235)",3.938
