,Stop ID,Stop Abbr,Stop Name,Lon,Lat,Bus Stop Type,Route(S),Jurisdiction
2539,176004,176004,WASHINGTON RD @ N COMMERCE DR,-84.492322,33.633703,Shelter,84;181,Fulton
2540,176006,176006,WASHINGTON RD @ 4555,-84.492203,33.630875,Bench,181,Fulton
2541,176010,176010,WASHINGTON RD @ HATHCOCK RD,-84.491994,33.627314,Sign on Post,181,Fulton
2542,176012,176012,WASHINGTON RD@SPRING ST,-84.492186,33.624981,Sign on Post,181,Fulton
2543,176014,176014,WASHINGTON RD @ ROOSEVELT HWY,-84.492189,33.623397,Sign on Post,181,Fulton
2544,176016,176016,ROOSEVELT HWY @ 3199,-84.494208,33.62267,Sign on Post,180;181,Fulton
2545,176018,176018,ROOSEVELT HWY @ MILLER RD,-84.497492,33.622361,Sign on Post,180;181,Fulton
2546,176038,176038,ROOSEVELT HWY @ 3199,-84.494608,33.622563,Sign on Post,180;181,Fulton
2547,176040,176040,WASHINGTON RD @ ROOSEVELT HWY,-84.492067,33.623367,Bench,181,Fulton
2548,176042,176042,WASHINGTON RD @ SPRING ST,-84.492058,33.625153,Sign on Post,181,Fulton
2549,176046,176046,WASHINGTON RD @ 4510,-84.492217,33.631722,Sign on Post,181,Fulton
2550,176048,176048,WASHINGTON RD @ N COMMERCE DR,-84.492233,33.633033,Shelter,84;181,Fulton
2551,176058,176058,SULLIVAN RD @ OLD NATIONAL HWY,-84.473335,33.624496,Bench,89,Fulton
2552,176060,176060,SULLIVAN RD @ EDISON DR,-84.466248,33.624393,Shelter,89,Fulton
2553,176062,176062,SULLIVAN RD @ 2301,-84.463463,33.624374,Shelter,89,Fulton
2554,176064,176064,SULLIVAN RD @ EMBARCADERO LN,-84.460197,33.624371,Shelter,89,Fulton
2555,176066,176066,BEST RD @ SULLIVAN RD,-84.458008,33.625137,Shelter,89,Clayton
2556,176068,176068,BEST RD@RIVERDALE RD,-84.457863,33.62841,Sign on Post,89,Clayton
2557,176070,176070,BEST RD @ 4555,-84.457961,33.631785,Shelter,89,Clayton
2558,176076,176076,BEST RD @ 4555,-84.458092,33.631946,Bench,89,Fulton
2559,176078,176078,BEST RD @ T OWEN SMITH BLVD,-84.458109,33.628343,Sign on Post,89,Clayton
2560,176080,176080,BEST RD @ 4736,-84.458084,33.627183,Bench,89,Clayton
2561,176082,176082,SULLIVAN RD @ 2301,-84.463326,33.624767,Shelter,89,Fulton
2562,176084,176084,SULLIVAN RD @ EDISON DR,-84.465591,33.624805,Simme Seat,89,Fulton
2563,176088,176088,OLD NATIONAL HWY @ SULLIVAN RD,-84.474422,33.623454,Shelter,89;189;195,Fulton
2564,176090,176090,OLD NATIONAL HWY @ GODBY RD,-84.47278,33.615688,Shelter,89,Fulton
2565,176094,176094,OLD NATIONAL HWY @ OLD BILL COOK RD,-84.472704,33.613701,Bench,89,Fulton
2566,176096,176096,OLD NATIONAL HWY @ JOLLY RD,-84.472065,33.61206,Sign on Post,89,Fulton
2567,176098,176098,OLD NATIONAL HWY @ JOLLY RD,-84.471807,33.611821,Shelter,89,Fulton
2568,176100,176100,OLD NATIONAL HWY @ 5234,-84.472107,33.612835,Sign on Post,89,Fulton
2569,176104,176104,OLD NATIONAL HWY @ GODBY RD,-84.472641,33.615986,Shelter,89,Fulton
2570,176106,176106,GODBY RD @ OLD NATIONAL HWY,-84.471264,33.616274,Shelter,189;195,Fulton
2571,176108,176108,GODBY RD @ OLD NATIONAL PKY,-84.468603,33.616257,Sign on Post,189;195,Fulton
2572,176110,176110,GODBY RD @ SCOFIELD RD,-84.46271,33.616211,Sign on Post,195,Fulton
2573,176112,176112,SCOFIELD RD @ ORLY TER,-84.463184,33.612485,Sign on Post,189,Fulton
2574,176116,176116,ROOSEVELT HWY @ WICKERSHAM DR,-84.461629,33.637161,Sign on Post,180;189;195,Fulton
2575,176120,176120,ROOSEVELT HWY @ GLOBAL GATEWAY CONN,-84.468945,33.631315,Sign on Post,180;189;195,Fulton
2576,176124,176124,ROOSEVELT HWY @ HERSCHEL RD,-84.472337,33.62858,Bench,180;189;195,Fulton
2577,176128,176128,ROOSEVELT HWY @ GREENSPRING RD,-84.475924,33.625684,Shelter,180,Fulton
2578,176132,176132,ROOSEVELT HWY @ JANICE DR,-84.479676,33.624041,Sign on Post,180,Fulton
2579,176134,176134,ROOSEVELT HWY @ KENT RD,-84.481098,33.623904,Sign on Post,180,Fulton
2580,176138,176138,ROOSEVELT HWY @ WHITE CITY RD,-84.484082,33.623694,Sign on Post,180,Fulton
2581,176140,176140,ROOSEVELT HWY @ YATES RD,-84.487001,33.623413,Simme Seat,180,Fulton
2582,176144,176144,ROOSEVELT HWY @ WASHINGTON RD,-84.491737,33.622978,Sign on Post,180,Fulton
2583,176150,176150,ROOSEVELT HWY @ BUFFINGTON RD,-84.501747,33.62203,Sign on Post,180,Fulton
2584,176152,176152,OLD NATIONAL HWY @ SULLIVAN RD,-84.474121,33.623512,Shelter,89;189;195,Fulton
2585,176154,176154,BEST RD @ SULLIVAN RD,-84.45827,33.625154,Sign on Post,89,Clayton
